MWP	ONames	GLON	GLAT	iXdiam	iYdiam	oXdiam	Reff	Thick	Ecc	PA	Hit	Disp	Flag	_RA.icrs	_DE.icrs
1G340601+003413	                    	340.601	+00.341	 0.709	  0.762	 1.150	 0.47	 0.44	 0.365	 33	 0.54	 0.002	2  	251.9252	-44.5673
1G013733-000160	N12                 	013.733	-00.016	 6.814	  6.624	 9.603	 4.00	 2.79	 0.234	 19	 0.54	 0.013	   	273.8520	-17.0256
1G354612+004841	CS46                	354.612	+00.484	 2.044	  2.057	 3.421	 1.33	 1.38	 0.111	 23	 0.54	 0.005	   	262.5573	-33.2277
1G044332-008343	N92                 	044.332	-00.834	 2.657	  3.174	 4.307	 1.82	 1.65	 0.547	 77	 0.54	 0.009	1  	288.8626	+09.7447
1G064010+007285	                    	064.010	+00.729	 1.425	  1.468	 2.360	 0.93	 0.94	 0.243	 10	 0.54	 0.003	   	297.5199	+27.7220
1G057544-002820	N123                	057.544	-00.282	 2.062	  2.004	 3.271	 1.28	 1.21	 0.235	 37	 0.54	 0.009	   	294.9222	+21.6174
1G340299-001980	S26                 	340.299	-00.198	 2.258	  2.375	 3.846	 1.50	 1.59	 0.311	 38	 0.54	 0.019	1  	252.2320	-45.1456
1G345484+004011	S11                 	345.484	+00.401	 3.456	  3.352	 5.504	 2.15	 2.05	 0.244	 18	 0.54	 0.011	1  	256.0236	-40.7238
1G043775+000606	N90                 	043.775	+00.061	 2.543	  2.456	 3.909	 1.55	 1.37	 0.259	  9	 0.54	 0.005	   	287.7961	+09.6663
1G017921-006843	N20                 	017.921	-00.684	 1.959	  1.992	 2.999	 1.22	 1.04	 0.181	 23	 0.54	 0.007	   	276.5101	-13.6468
1G018193-004002	N21                 	018.193	-00.400	 3.779	  3.446	 5.779	 2.25	 2.00	 0.411	 19	 0.54	 0.008	1  	276.3823	-13.2738
1G311483+003982	S133,S134,S135,S132 	311.483	+00.398	 2.863	  3.261	 4.386	 1.87	 1.52	 0.479	 19	 0.53	 0.008	1  	210.8789	-61.2714
1G054106-000635	N116,N117           	054.106	-00.064	 3.659	  3.508	 6.137	 2.33	 2.48	 0.284	 33	 0.53	 0.012	1  	292.9354	+18.7208
1G044777-005495	N93                 	044.777	-00.549	 1.110	  1.176	 1.904	 0.74	 0.79	 0.332	 15	 0.53	 0.003	2  	288.8166	+10.2712
1G312975-004354	S123                	312.975	-00.435	 3.499	  3.426	 5.332	 2.14	 1.83	 0.203	 24	 0.53	 0.009	   	214.3803	-61.6167
1G354683+004723	CS44                	354.683	+00.472	 2.246	  2.265	 3.809	 1.47	 1.56	 0.128	 20	 0.53	 0.007	   	262.6160	-33.1750
1G350585-000744	CS101               	350.585	-00.074	 3.206	  3.390	 4.464	 1.94	 1.26	 0.324	 22	 0.53	 0.007	   	260.3679	-36.8771
1G354182-000528	CS51                	354.182	-00.053	 4.040	  3.688	 5.841	 2.34	 1.80	 0.408	 11	 0.52	 0.009	   	262.8120	-33.8820
1G311893+000861	                    	311.893	+00.086	 3.401	  3.454	 5.246	 2.13	 1.85	 0.175	 22	 0.52	 0.008	1  	211.8835	-61.4547
1G038907-004386	N74                 	038.907	-00.439	 2.364	  2.117	 3.903	 1.45	 1.54	 0.445	 49	 0.52	 0.003	   	285.9837	+05.1146
1G052605+003708	                    	052.605	+00.371	 0.609	  0.587	 1.315	 0.44	 0.71	 0.264	 24	 0.52	 0.001	2  	291.7767	+17.6116
1G359737-004097	CS2                 	359.737	-00.410	 2.744	  2.845	 4.027	 1.69	 1.28	 0.264	 14	 0.52	 0.008	1  	266.6493	-29.3741
1G299701+000151	S174                	299.701	+00.015	 4.411	  4.516	 6.164	 2.63	 1.75	 0.214	 20	 0.52	 0.012	   	185.8058	-62.6796
1G054480+009282	                    	054.480	+00.928	 3.726	  3.639	 7.687	 2.65	 3.96	 0.215	 19	 0.52	 0.010	   	292.2043	+19.5250
1G023089+005617	N29,N30             	023.089	+00.562	 3.336	  3.243	 5.225	 2.06	 1.89	 0.234	 30	 0.52	 0.030	   	277.8319	-08.4914
1G341283-003407	S23                 	341.283	-00.341	 3.250	  3.216	 5.060	 2.02	 1.81	 0.144	 29	 0.52	 0.019	   	253.2724	-44.4793
1G331330-003571	S62                 	331.330	-00.357	 2.652	  2.871	 4.468	 1.78	 1.82	 0.383	 27	 0.52	 0.016	   	243.1081	-51.7870
1G330676-003859	S67                 	330.676	-00.386	 2.133	  1.685	 3.356	 1.22	 1.22	 0.613	  4	 0.52	 0.009	2  	242.3615	-52.2533
1G329275+001097	S70                 	329.275	+00.110	 1.952	  1.853	 3.172	 1.22	 1.22	 0.313	  9	 0.52	 0.005	   	240.0993	-52.8150
1G332975+007756	                    	332.975	+00.776	 2.964	  2.840	 4.712	 1.84	 1.75	 0.286	 20	 0.52	 0.019	   	243.7658	-49.8333
1G050078+005703	N105                	050.078	+00.570	 1.286	  1.282	 2.396	 0.88	 1.11	 0.071	  8	 0.51	 0.002	   	290.3461	+15.4799
1G309550-007199	S141                	309.550	-00.720	 2.241	  2.305	 3.826	 1.48	 1.58	 0.233	 14	 0.51	 0.007	   	207.4814	-62.8378
1G313809+001340	S120                	313.809	+00.134	 2.970	  2.900	 4.243	 1.76	 1.27	 0.216	 14	 0.51	 0.006	   	215.6155	-60.8009
1G001113-002654	                    	001.113	-00.265	 4.841	  4.630	 6.378	 2.73	 1.54	 0.292	 23	 0.51	 0.012	1  	267.3190	-28.1212
1G344104-006669	                    	344.104	-00.667	 2.309	  2.214	 3.914	 1.48	 1.61	 0.284	 22	 0.51	 0.006	   	256.0365	-42.4688
1G339980-005491	                    	339.980	-00.549	 1.525	  1.601	 2.368	 0.97	 0.84	 0.305	 12	 0.51	 0.004	   	252.3231	-45.6156
1G020322+000746	                    	020.322	+00.075	 0.671	  0.672	 1.051	 0.42	 0.38	 0.041	  3	 0.51	 0.002	   	276.9674	-11.1687
1G035001+003318	N65                 	035.001	+00.332	 3.218	  3.435	 4.805	 2.02	 1.59	 0.350	  8	 0.51	 0.008	1  	283.5077	+01.9928
1G354465+000747	CS48                	354.465	+00.075	 2.255	  2.420	 3.769	 1.50	 1.51	 0.362	  8	 0.50	 0.006	   	262.8699	-33.5752
1G042104-006230	N82                 	042.104	-00.623	 2.703	  2.644	 4.727	 1.77	 2.02	 0.209	 10	 0.50	 0.006	2  	287.6285	+07.8684
1G331011-001485	S64                 	331.011	-00.148	 4.412	  4.292	 6.879	 2.72	 2.47	 0.232	 19	 0.50	 0.011	1  	242.5000	-51.8513
1G347989+000549	                    	347.989	+00.055	 3.945	  3.810	 5.847	 2.37	 1.90	 0.260	 14	 0.50	 0.008	   	258.3331	-38.9212
1G053551-000082	N115                	053.551	-00.008	 4.399	  4.582	 7.494	 2.92	 3.10	 0.280	 49	 0.50	 0.015	1  	292.6021	+18.2612
1G317862+001517	                    	317.862	+00.152	 2.539	  2.445	 3.988	 1.57	 1.45	 0.269	 21	 0.50	 0.013	   	223.0437	-59.1743
1G340734-006147	                    	340.734	-00.615	 2.342	  2.309	 3.710	 1.47	 1.37	 0.166	 30	 0.50	 0.008	   	253.0804	-45.0775
1G321395-003135	S89                 	321.395	-00.314	 1.771	  1.774	 3.039	 1.16	 1.27	 0.060	 26	 0.49	 0.004	   	229.3820	-57.8507
1G305384-002439	S152                	305.384	-00.244	 2.188	  2.056	 3.370	 1.32	 1.18	 0.342	 20	 0.49	 0.003	   	198.2693	-63.0127
1G044811-004866	N94                 	044.811	-00.487	 5.358	  4.128	 7.863	 2.93	 2.51	 0.637	 25	 0.49	 0.013	1  	288.7769	+10.3301
1G030961+005940	                    	030.961	+00.594	 1.890	  2.077	 3.055	 1.25	 1.17	 0.415	 22	 0.49	 0.007	   	281.4317	-01.4830
1G338460-002173	                    	338.460	-00.217	 0.644	  0.650	 1.110	 0.42	 0.47	 0.136	 39	 0.49	 0.002	   	250.5337	-46.5539
1G042834-001579	N84                 	042.834	-00.158	 1.818	  1.880	 2.963	 1.18	 1.14	 0.254	 17	 0.49	 0.005	   	287.5524	+08.7306
1G047180+003195	                    	047.180	+00.319	 2.756	  2.997	 4.148	 1.75	 1.39	 0.393	 15	 0.49	 0.007	   	289.1751	+12.8018
1G024136+004363	                    	024.136	+00.436	 3.976	  3.644	 5.651	 2.29	 1.67	 0.400	 16	 0.49	 0.006	1  	278.4330	-07.6210
1G327699+005702	S72                 	327.699	+00.570	 2.267	  2.620	 3.462	 1.49	 1.20	 0.502	 48	 0.49	 0.011	   	237.5896	-53.4704
1G301626-003323	S167                	301.626	-00.332	 8.931	  8.747	12.988	 5.34	 4.06	 0.202	 22	 0.48	 0.028	1  	189.9647	-63.1744
1G326725+007745	                    	326.725	+00.775	 2.244	  2.329	 3.869	 1.50	 1.63	 0.268	 69	 0.48	 0.004	   	236.0825	-53.9111
1G314409-007115	                    	314.409	-00.711	 1.260	  1.343	 2.033	 0.82	 0.77	 0.344	 21	 0.48	 0.002	   	217.3987	-61.3761
1G331374+005224	S57,S60             	331.374	+00.522	 7.105	  6.960	10.477	 4.28	 3.37	 0.201	 50	 0.48	 0.027	1  	242.2012	-51.1124
1G353280-004780	CS58                	353.280	-00.478	 1.487	  1.590	 2.531	 1.00	 1.04	 0.353	 32	 0.48	 0.003	   	262.6420	-34.8692
1G024425+003359	                    	024.425	+00.336	 0.748	  0.757	 1.302	 0.50	 0.55	 0.155	  7	 0.48	 0.001	   	278.6569	-07.4106
1G031473-003459	                    	031.473	-00.346	 1.438	  1.327	 2.364	 0.89	 0.93	 0.384	 47	 0.48	 0.006	   	282.5021	-01.4562
1G034334+002126	N62                 	034.334	+00.213	 2.625	  2.621	 3.769	 1.57	 1.14	 0.054	 14	 0.48	 0.005	   	283.3093	+01.3450
1G332317-005665	S54                 	332.317	-00.567	 1.394	  1.372	 2.319	 0.89	 0.93	 0.176	 17	 0.48	 0.004	   	244.4879	-51.2567
1G026822+003828	N44                 	026.822	+00.383	 1.826	  1.940	 2.813	 1.16	 0.99	 0.338	 48	 0.48	 0.003	   	279.7232	-05.2601
1G332413+000521	S52,S53             	332.413	+00.052	 4.277	  4.240	 6.931	 2.71	 2.65	 0.131	 12	 0.48	 0.009	1  	243.9140	-50.7449
1G041519+000375	N79                 	041.519	+00.037	 2.396	  2.623	 3.597	 1.53	 1.20	 0.407	 19	 0.48	 0.011	   	286.7653	+07.6534
1G323803+000231	S85                 	323.803	+00.023	 2.526	  2.528	 3.890	 1.57	 1.36	 0.045	 37	 0.48	 0.009	   	232.7376	-56.2436
1G351170+004718	CS90                	351.170	+00.472	 5.821	  6.387	 8.879	 3.74	 3.06	 0.411	 19	 0.48	 0.029	1  	260.2243	-36.0853
1G314216+003417	S117                	314.216	+00.342	 1.854	  1.615	 3.161	 1.15	 1.31	 0.491	 86	 0.47	 0.004	   	216.2453	-60.4640
1G038928-003861	N75                 	038.928	-00.386	 1.187	  1.294	 1.967	 0.79	 0.78	 0.398	 25	 0.47	 0.002	   	285.9461	+05.1575
1G041237+003647	                    	041.237	+00.365	 3.381	  3.289	 5.113	 2.06	 1.73	 0.233	 31	 0.47	 0.014	   	286.3406	+07.5537
1G337305+003333	                    	337.305	+00.333	 1.259	  1.251	 1.938	 0.78	 0.68	 0.117	 10	 0.47	 0.002	   	248.8094	-47.0472
1G358324-007417	CS16                	358.324	-00.742	 3.716	  3.823	 5.391	 2.26	 1.67	 0.234	 25	 0.47	 0.011	   	266.1260	-30.7530
1G326787-005511	S78                 	326.787	-00.551	 3.233	  3.126	 5.042	 1.99	 1.81	 0.255	 18	 0.47	 0.013	1  	237.5743	-54.9155
1G352652-003627	CS67,CS68           	352.652	-00.363	 1.576	  1.712	 2.420	 1.01	 0.84	 0.389	 89	 0.47	 0.010	   	262.1009	-35.3293
1G328193-004780	                    	328.193	-00.478	 1.982	  1.886	 3.169	 1.23	 1.19	 0.308	 39	 0.47	 0.005	   	239.3602	-53.9649
1G329119-008454	                    	329.119	-00.845	 0.686	  0.673	 1.333	 0.47	 0.65	 0.193	 24	 0.47	 0.002	   	240.9526	-53.6369
1G015014+000570	N16,N17             	015.014	+00.057	 3.833	  3.601	 6.006	 2.34	 2.17	 0.343	 29	 0.47	 0.010	1  	274.4203	-15.8640
1G351768+001015	CS77                	351.768	+00.102	 1.051	  1.217	 1.731	 0.72	 0.68	 0.504	 28	 0.47	 0.004	   	261.0195	-35.8024
1G302634-006686	                    	302.634	-00.669	 1.686	  1.649	 2.821	 1.08	 1.13	 0.209	 41	 0.46	 0.005	2  	192.1909	-63.5392
1G018980+000304	                    	018.980	+00.030	 5.394	  5.744	 8.303	 3.44	 2.91	 0.344	 35	 0.46	 0.027	   	276.3692	-12.3770
1G025291+002939	N37                 	025.291	+00.294	 2.713	  3.392	 4.036	 1.83	 1.32	 0.600	 13	 0.46	 0.007	2  	279.0960	-06.6610
1G317989-007519	S104                	317.989	-00.752	 2.315	  2.525	 4.017	 1.58	 1.70	 0.399	 13	 0.46	 0.010	1 2	224.0774	-59.9219
1G315980-001816	S115                	315.980	-00.182	 1.391	  1.420	 2.122	 0.87	 0.73	 0.201	 13	 0.46	 0.003	   	219.9493	-60.2794
1G013189+000428	N10                 	013.189	+00.043	 2.469	  2.528	 3.664	 1.52	 1.19	 0.214	 22	 0.46	 0.006	   	273.5257	-17.4754
1G353353-001413	CS57                	353.353	-00.141	 2.480	  2.479	 4.112	 1.60	 1.63	 0.030	 15	 0.46	 0.009	   	262.3487	-34.6226
1G313670-001046	                    	313.670	-00.105	 2.181	  2.304	 3.366	 1.39	 1.18	 0.322	 49	 0.46	 0.007	   	215.5158	-61.0731
1G328348+008987	                    	328.348	+00.899	 2.613	  2.608	 4.074	 1.63	 1.46	 0.062	 15	 0.46	 0.006	   	238.0854	-52.8064
1G348260+004774	S7                  	348.260	+00.477	 7.644	  7.800	10.523	 4.52	 2.88	 0.198	 25	 0.46	 0.021	1  	258.0998	-38.4539
1G336923-001922	                    	336.923	-00.192	 2.913	  3.006	 4.735	 1.88	 1.82	 0.247	 48	 0.46	 0.009	   	249.0012	-47.6833
1G059837+000112	                    	059.837	+00.011	 1.908	  1.940	 3.219	 1.25	 1.31	 0.182	 23	 0.46	 0.005	   	295.8771	+23.7546
1G013992-001288	N14                 	013.992	-00.129	 2.663	  2.626	 4.256	 1.67	 1.59	 0.168	 38	 0.46	 0.009	1  	274.0849	-16.8517
1G015877+005533	                    	015.877	+00.553	 1.921	  1.590	 3.227	 1.16	 1.31	 0.561	 69	 0.46	 0.005	   	274.3920	-14.8690
1G359291-002544	CS4                 	359.291	-00.254	 2.550	  2.438	 4.144	 1.60	 1.59	 0.293	 30	 0.46	 0.008	   	266.2294	-29.6736
1G354008+006116	CS52                	354.008	+00.612	 1.845	  2.259	 3.002	 1.28	 1.16	 0.577	 24	 0.46	 0.009	   	262.0293	-33.6602
1G027688+000778	                    	027.688	+00.078	 1.829	  1.878	 2.925	 1.17	 1.10	 0.228	 12	 0.46	 0.005	   	280.3935	-04.6300
1G337511-005455	S38                 	337.511	-00.546	 2.576	  2.306	 4.087	 1.55	 1.51	 0.446	 68	 0.46	 0.011	   	249.9744	-47.4831
1G008867-003251	CN123               	008.867	-00.325	 2.164	  2.042	 3.527	 1.35	 1.36	 0.332	 34	 0.46	 0.006	   	271.6538	-21.4379
1G312704+000140	S126                	312.704	+00.014	 1.838	  2.039	 3.004	 1.23	 1.17	 0.432	 44	 0.46	 0.006	   	213.5422	-61.2782
1G312760+000734	S125                	312.760	+00.073	 1.154	  1.281	 2.099	 0.81	 0.94	 0.433	 41	 0.46	 0.005	   	213.6141	-61.2046
1G342073+004320	S18                 	342.073	+00.432	 2.164	  2.202	 3.618	 1.41	 1.45	 0.186	 12	 0.46	 0.009	1  	253.1375	-43.3783
1G339477+001818	                    	339.477	+00.182	 1.115	  1.123	 1.621	 0.67	 0.51	 0.123	 17	 0.45	 0.002	   	251.0622	-45.5248
1G328308+004465	                    	328.308	+00.447	 2.849	  3.035	 4.406	 1.82	 1.56	 0.345	 31	 0.45	 0.017	1  	238.5103	-53.1812
1G306321-003550	                    	306.321	-00.355	 2.228	  2.127	 3.398	 1.35	 1.17	 0.297	 15	 0.45	 0.007	   	200.3489	-63.0294
1G028828-002282	N49                 	028.828	-00.228	 2.269	  2.268	 3.598	 1.43	 1.33	 0.031	 30	 0.45	 0.005	   	281.1889	-03.7559
1G032985-003351	                    	032.985	-00.335	 2.860	  2.860	 4.363	 1.77	 1.50	 0.010	 29	 0.45	 0.006	   	283.1818	-00.1055
1G357914-003315	                    	357.914	-00.331	 0.595	  0.640	 1.005	 0.40	 0.41	 0.368	 16	 0.45	 0.001	   	265.4680	-30.8859
1G332071+005004	S56                 	332.071	+00.500	 1.428	  1.436	 2.632	 0.97	 1.20	 0.103	  9	 0.45	 0.004	   	243.0355	-50.6550
1G340907+001700	                    	340.907	+00.170	 2.122	  2.123	 3.379	 1.34	 1.26	 0.024	 31	 0.45	 0.005	   	252.3849	-44.4432
1G056410+004257	                    	056.410	+00.426	 1.879	  1.875	 3.294	 1.24	 1.41	 0.069	 24	 0.45	 0.004	   	293.6642	+20.9744
1G335163-002431	S42                 	335.163	-00.243	 1.731	  1.936	 2.820	 1.16	 1.09	 0.448	 21	 0.45	 0.004	   	247.2514	-49.0054
1G061141-008957	                    	061.141	-00.896	 2.302	  2.516	 3.333	 1.44	 1.03	 0.403	  8	 0.45	 0.005	   	297.4543	+24.4253
1G000493+001928	                    	000.493	+00.193	 0.809	  0.789	 1.328	 0.51	 0.52	 0.225	  5	 0.45	 0.002	   	266.5097	-28.4148
1G339941-005833	                    	339.941	-00.583	 3.113	  3.663	 4.392	 1.99	 1.28	 0.527	 29	 0.45	 0.011	   	252.3246	-45.6673
1G330292+004960	                    	330.292	+00.496	 1.935	  1.813	 3.194	 1.21	 1.26	 0.350	 20	 0.45	 0.003	   	240.9373	-51.8553
1G052159+007094	N110                	052.159	+00.709	 0.950	  0.939	 1.577	 0.61	 0.63	 0.150	  8	 0.45	 0.002	2  	291.2427	+17.3798
1G051602-003374	                    	051.602	-00.337	 2.811	  2.844	 4.579	 1.80	 1.77	 0.153	 12	 0.45	 0.014	   	291.9275	+16.3924
1G046966+003154	N96,N97             	046.966	+00.315	 5.871	  5.640	 8.184	 3.41	 2.31	 0.278	 13	 0.45	 0.016	1  	289.0764	+12.6107
1G011089-003769	                    	011.089	-00.377	 2.580	  2.707	 4.023	 1.64	 1.44	 0.302	 15	 0.45	 0.009	1  	272.8517	-19.5193
1G346111-001105	                    	346.111	-00.110	 1.348	  1.324	 2.161	 0.85	 0.81	 0.187	 15	 0.45	 0.003	   	257.0589	-40.5318
1G028991-006023	                    	028.991	-00.602	 2.433	  2.663	 4.230	 1.66	 1.80	 0.406	 41	 0.45	 0.011	2  	281.5969	-03.7817
1G304021+004503	S162                	304.021	+00.450	 1.387	  1.592	 2.178	 0.92	 0.79	 0.491	 10	 0.45	 0.005	   	195.2108	-62.4019
1G061667+009432	N128                	061.667	+00.943	 4.560	  4.938	 6.430	 2.80	 1.87	 0.384	 87	 0.45	 0.006	   	295.9917	+25.8055
1G328220-005795	                    	328.220	-00.579	 1.786	  1.755	 2.882	 1.13	 1.10	 0.184	 14	 0.45	 0.012	   	239.5063	-54.0245
1G330527+005514	                    	330.527	+00.551	 1.719	  1.772	 2.894	 1.13	 1.17	 0.244	 11	 0.44	 0.005	   	241.1624	-51.6582
1G027145+006201	                    	027.145	+00.620	 0.816	  0.795	 1.397	 0.53	 0.58	 0.222	 24	 0.44	 0.002	   	279.6604	-04.8644
1G353221-002500	CS60                	353.221	-00.250	 2.018	  2.151	 3.499	 1.36	 1.48	 0.347	 24	 0.44	 0.008	   	262.3706	-34.7928
1G043185-005229	                    	043.185	-00.523	 0.725	  0.746	 1.201	 0.47	 0.48	 0.235	 21	 0.44	 0.002	   	288.0441	+08.8731
1G331155-003928	                    	331.155	-00.393	 2.133	  2.164	 4.167	 1.50	 2.03	 0.169	  4	 0.44	 0.005	   	242.9411	-51.9329
1G298413-005318	S179                	298.413	-00.532	 1.213	  1.211	 2.037	 0.79	 0.82	 0.066	  2	 0.44	 0.003	   	182.8479	-63.0519
1G319470-004327	                    	319.470	-00.433	 0.664	  0.664	 1.312	 0.47	 0.65	 0.000	 12	 0.44	 0.002	   	226.3392	-58.9360
1G329657-004866	S69                 	329.657	-00.487	 1.794	  1.737	 3.511	 1.24	 1.72	 0.249	 34	 0.44	 0.006	   	241.2284	-53.0120
1G039172-003984	                    	039.172	-00.398	 2.101	  2.090	 3.149	 1.28	 1.05	 0.105	 19	 0.44	 0.007	   	286.0691	+05.3689
1G297498-007625	                    	297.498	-00.763	 2.922	  2.890	 4.773	 1.86	 1.85	 0.147	 21	 0.44	 0.008	1  	180.7690	-63.1234
1G320234-000978	S94                 	320.234	-00.098	 3.317	  3.093	 5.154	 2.01	 1.84	 0.361	 29	 0.44	 0.017	   	227.2919	-58.2655
1G338841-003166	S31                 	338.841	-00.317	 1.989	  2.027	 3.086	 1.25	 1.10	 0.192	 21	 0.44	 0.007	   	251.0063	-46.3323
1G298219-003253	S181                	298.219	-00.325	 2.464	  2.673	 3.962	 1.62	 1.50	 0.388	 13	 0.44	 0.015	   	182.4985	-62.8169
1G339486+000872	                    	339.486	+00.087	 1.168	  1.178	 1.898	 0.75	 0.73	 0.129	 12	 0.44	 0.003	   	251.1732	-45.5801
1G033815-001494	N60                 	033.815	-00.149	 1.029	  0.991	 1.709	 0.65	 0.68	 0.268	 22	 0.44	 0.003	   	283.3948	+00.7180
1G311483+003617	S134                	311.483	+00.362	 0.854	  0.912	 1.457	 0.57	 0.60	 0.350	 11	 0.44	 0.002	2  	210.8995	-61.3060
1G320865-004201	S91                 	320.865	-00.420	 4.005	  3.720	 6.106	 2.40	 2.10	 0.371	 36	 0.44	 0.013	1  	228.6350	-58.2192
1G328807-000775	                    	328.807	-00.077	 2.320	  2.216	 3.535	 1.41	 1.22	 0.295	 24	 0.44	 0.007	   	239.7113	-53.2618
1G314188+002795	S118                	314.188	+00.280	 2.554	  2.760	 4.092	 1.67	 1.54	 0.379	 38	 0.44	 0.014	1  	216.2366	-60.5319
1G309059+001661	S143                	309.059	+00.166	 7.498	  6.945	11.135	 4.43	 3.64	 0.377	 23	 0.44	 0.027	1  	206.0345	-62.0772
1G028323+001544	N48                 	028.323	+00.154	 1.473	  1.511	 2.443	 0.96	 0.97	 0.220	  5	 0.44	 0.003	   	280.6170	-04.0305
1G018141-002783	                    	018.141	-00.278	 3.294	  3.086	 5.293	 2.03	 2.00	 0.350	 30	 0.43	 0.011	1  	276.2466	-13.2628
1G346108-003706	                    	346.108	-00.371	 0.617	  0.643	 0.996	 0.40	 0.38	 0.279	  9	 0.43	 0.002	2  	257.3323	-40.6900
1G346327-001731	                    	346.327	-00.173	 0.595	  0.670	 0.953	 0.40	 0.36	 0.461	 87	 0.43	 0.001	   	257.2949	-40.3962
1G329975-000051	S68                 	329.975	-00.005	 1.777	  1.717	 2.852	 1.11	 1.07	 0.260	 26	 0.43	 0.004	   	241.0919	-52.4405
1G342567+007370	                    	342.567	+00.737	 1.428	  1.401	 2.294	 0.90	 0.87	 0.194	 23	 0.43	 0.004	   	253.2434	-42.8029
1G345913+000107	S10                 	345.913	+00.011	 2.058	  1.969	 3.036	 1.23	 0.98	 0.291	 12	 0.43	 0.007	   	256.7751	-40.6177
1G009945-007443	CN139               	009.945	-00.744	 4.620	  5.154	 6.968	 2.97	 2.35	 0.443	 30	 0.43	 0.018	   	272.6069	-20.6985
1G045909+004836	                    	045.909	+00.484	 0.632	  0.633	 1.059	 0.41	 0.43	 0.035	 18	 0.43	 0.002	   	288.4205	+11.7535
1G026990-000561	N45                 	026.990	-00.056	 2.404	  2.525	 4.057	 1.59	 1.65	 0.305	 46	 0.43	 0.009	   	280.1923	-05.3119
1G041931+000351	N80                 	041.931	+00.035	 2.580	  2.590	 3.921	 1.59	 1.34	 0.089	 20	 0.43	 0.007	   	286.9585	+08.0183
1G052204+007513	N111                	052.204	+00.751	 1.529	  1.552	 2.439	 0.97	 0.91	 0.171	 23	 0.43	 0.003	2  	291.2263	+17.4393
1G039319-002877	                    	039.319	-00.288	 1.860	  1.909	 2.881	 1.17	 1.02	 0.225	 27	 0.43	 0.005	   	286.0387	+05.5499
1G047029+002204	N98                 	047.029	+00.220	 2.442	  2.488	 4.081	 1.59	 1.64	 0.191	  5	 0.43	 0.007	   	289.1927	+12.6221
